,STDR_DE_ID,ADSTRD_CODE_SE,TOT_LVPOP_CO,MALE_F0T9_LVPOP_CO,MALE_F10T14_LVPOP_CO,MALE_F15T19_LVPOP_CO,MALE_F20T24_LVPOP_CO,MALE_F25T29_LVPOP_CO,MALE_F30T34_LVPOP_CO,MALE_F35T39_LVPOP_CO,MALE_F40T44_LVPOP_CO,MALE_F45T49_LVPOP_CO,MALE_F50T54_LVPOP_CO,MALE_F55T59_LVPOP_CO,MALE_F60T64_LVPOP_CO,MALE_F65T69_LVPOP_CO,MALE_F70T74_LVPOP_CO,FEMALE_F0T9_LVPOP_CO,FEMALE_F10T14_LVPOP_CO,FEMALE_F15T19_LVPOP_CO,FEMALE_F20T24_LVPOP_CO,FEMALE_F25T29_LVPOP_CO,FEMALE_F30T34_LVPOP_CO,FEMALE_F35T39_LVPOP_CO,FEMALE_F40T44_LVPOP_CO,FEMALE_F45T49_LVPOP_CO,FEMALE_F50T54_LVPOP_CO,FEMALE_F55T59_LVPOP_CO,FEMALE_F60T64_LVPOP_CO,FEMALE_F65T69_LVPOP_CO,FEMALE_F70T74_LVPOP_CO
0,2018-02-15,280320.0,13850263.03125,331613.11131999997,205096.92921,380887.98536,448036.87307,558153.3671699999,577878.1640699998,643355.4902499999,571746.2910000001,628758.1503899998,484508.32423000014,438386.0644699999,406009.81444000005,320136.10251000006,660589.1855599999,342436.66797,206111.38914999997,352441.22072000004,507535.5898199999,605456.67578,597304.7187399999,621199.22071,551992.49607,584743.8769500001,467873.29297999997,498071.6601600001,502551.76951,405536.02147000004,951852.6328000001
1,2018-02-16,280320.0,12146402.4375,287909.34767000005,171436.5498,315777.6855599999,382015.01953,471106.64649,485405.58788,545908.64258,488806.27147000004,520995.62889000005,414856.01659,393564.76076000003,378517.6386900001,305467.9609199999,635023.54686,305349.90624000004,175266.80859,286720.95898999996,409370.92381999997,483969.79297000007,498302.17967,546921.80469,480091.45703999995,493681.8730700001,409287.81249,457869.0097999999,469185.28709999996,390035.84961000003,943557.63281
2,2018-02-17,280320.0,13206927.03125,314324.89651000005,191920.82224,374605.79002,447026.18749000004,526834.3945400001,536460.0039400002,579509.01562,527173.0449199999,591528.28127,476094.83202000003,430329.7382699999,396168.38474999997,319990.49612,656621.9023600001,326247.13377,194256.78663000005,325828.52733,455193.2402,527800.1875100001,525922.5976600001,567487.25193,527032.4862999999,564175.6992200001,457663.3671699999,483196.88086,490719.91797,409212.03515999997,983604.4296800002
3,2018-02-18,280320.0,15283784.875,359418.24315999995,221064.92577,446376.39651,538335.23633,648740.2363300001,667191.84764,700418.30666,621560.5644299998,678689.6601399999,528835.8398500001,475746.93164,409457.02342000004,336881.58106999996,692833.2988300001,378573.6592,225109.23191,401160.875,588947.43748,693197.7030900001,666158.2461100001,680854.9961,608930.58007,659426.19921,505311.5820199999,531705.1484399999,525215.65429,424619.64650000003,1069027.875
4,2018-02-19,280320.0,20355201.3125,410006.26562,270041.75192000007,514449.96095000004,630886.2636599998,946663.7988399998,1053443.9394599998,1151596.79296,1016677.28906,984694.8281199998,700832.65233,592207.81251,495805.03515999997,389093.03712,740159.7734600002,429123.00976000004,267801.2539,487857.33791,859445.9941300001,1200012.1269799997,1064087.74217,988068.91603,833134.4980499998,818416.5702999999,614518.14843,637978.5429499999,623773.72072,496061.38279999996,1138363.3086
5,2018-02-20,280320.0,21131185.0,434973.18360999983,284003.49998,509099.9101500001,617282.6366999999,958104.2051,1087916.18359,1224772.5585999999,1079310.16796,1031036.1894300001,726999.3847600002,619369.00779,523134.10351,397664.04491,759086.19532,441429.09571999987,277574.36916,482165.75294,882986.5176000001,1278959.8847500002,1131831.9784900001,1045956.0625,865735.6582100001,846564.3495700001,640826.8339800001,675182.0839800001,656310.6308600002,509522.86134999996,1143387.96482
6,2018-02-21,280320.0,21292611.0625,431358.00195,282166.96095,515861.5644600001,626572.0546800002,969428.3359299998,1095319.13478,1233030.11327,1084357.1504099998,1037623.24023,735285.91404,620577.55662,522459.1777499998,396761.6503499999,766677.0585900001,447822.0527200001,281605.15038,493504.74412000005,893179.81641,1291014.2285000002,1141725.5117200003,1051584.4004000002,875371.29885,850574.44336,643269.02149,684108.7031200001,663180.51563,515646.2793099999,1142546.8007700003
7,2018-02-22,280320.0,21378875.5625,434132.71485,284824.24805999995,523039.86523999996,629405.3437600001,970565.8750100002,1100525.52733,1234836.00391,1092659.8632700003,1045456.2480400001,736513.0097500001,626642.0410399999,529650.6152400001,405481.5322299999,768507.1582,445732.68554000003,281148.4912,497446.7050999999,892297.80468,1292983.7675700001,1141056.1992199998,1053943.65626,878703.4023300001,850725.89844,652585.95311,683955.8711000001,665600.5996199999,512566.47266999993,1147887.9726399998
8,2018-02-23,280320.0,21356908.75,432748.4140500001,281772.87890999997,523871.88670000003,643198.2714900001,982853.7343600001,1099527.68554,1221961.08789,1076573.84958,1040744.9179499999,735327.5410200002,623861.3613100001,525989.52343,402595.03122999996,768009.23435,447471.28122999985,282363.64163,505006.82617,900150.8632899999,1304193.5116900003,1142021.5546700002,1046701.69922,874872.5781099999,847587.8574399998,649081.9335900001,682917.35937,662456.38673,514789.40235,1138258.51173
9,2018-02-24,280320.0,18389803.8125,436177.9336,279514.48829999997,540611.80469,610192.1308599999,812840.2832,841413.6289,884130.7890500001,781768.40432,841305.7011900002,638302.8046799998,557315.71289,485413.85156000004,367384.73535,713393.92382,466009.8418,288166.42774,522373.72069,763753.7109600002,964565.9706899999,884689.84766,845348.89062,757538.0039099999,779811.7421899998,600086.3222599999,625887.0722699999,593208.09376,462713.09960000013,1045884.84375
